"tablescraper-selected-row href","css-6ubqba","css-1oq4rdn","css-1hqv54u","css-1hqv54u 2","css-1hqv54u 3"
"https://secrethunter.io/jobs/DA.74F","Operations QA engineer","Vectorious MedTech","Tel Aviv","4 months","Score: 36"
"https://secrethunter.io/jobs/7D.A4C","QA expert","XTEND","Tel Aviv","3 months","Score: 36"
"https://secrethunter.io/jobs/15619-qa-engineer-with-a-background-in-c%2B%2B-and-python-at-qualitest-4044946168","15619 - QA engineer with a background in c++ and python","Qualitest","Petah Tikva","2 months","Score: 36"
"https://secrethunter.io/jobs/Tipalti-5242093004","QA automation engineer","Tipalti","Tel Aviv","5 months","Score: 36"
"https://secrethunter.io/jobs/Tipalti-5341557004","QA automation engineer","Tipalti","Tel Aviv","3 months","Score: 36"
"https://secrethunter.io/jobs/13522-manual-system-tester-at-qualitest-3977671679","13522 - manual system tester","Qualitest","Petah Tikva","5 months","Score: 36"
"https://secrethunter.io/jobs/qa-engineer-at-autofleet-4028529628","QA engineer","Autofleet","Tel Aviv","3 months","Score: 36"
"https://secrethunter.io/jobs/qa-automation-at-guideline-group-4051589821","QA automation","Guideline Group","Bnei Brak","2 months","Score: 36"
"https://secrethunter.io/jobs/operator-qc-in-line-inspection-at-vishay-intertechnology-inc-3999530640","Operator QC in-line inspection","Vishay Intertechnology, Inc.","Migdal Haemek","4 months","Score: 36"
"https://secrethunter.io/jobs/dqa-engineer-at-boston-scientific-4019435582","DQA engineer","Boston Scientific","Yokeam Illit","3 months","Score: 36"
"https://secrethunter.io/jobs/8B.F3E","QA architect","Verbit","Tel Aviv","4 months","Score: 35"
"https://secrethunter.io/jobs/hw-quality-assurance-testing-engineer-at-mobileye-4033995891","Hw quality assurance testing engineer","Mobileye","Jerusalem","3 months","Score: 35"
"https://secrethunter.io/jobs/14923-qa-engineer-borders-defense-at-qualitest-3992611016","14923 - QA engineer - borders defense","Qualitest","Petah Tikva","4 months","Score: 35"
"https://secrethunter.io/jobs/Tipalti-5342608004","QA & automation engineer","Tipalti","Tel Aviv","3 months","Score: 35"
"https://secrethunter.io/jobs/89.C46","QA automation architect","Aqua Security","Ramat Gan","2 months","Score: 35"
"https://secrethunter.io/jobs/qa-team-lead-at-juganu-3891688014","QA team lead","Juganu","Oryehuda","9 months","Score: 35"
"https://secrethunter.io/jobs/14980-manual-system-tester-at-qualitest-3997432325","14980 - manual system tester","Qualitest","Petah Tikva","4 months","Score: 35"
"https://secrethunter.io/jobs/Cato-Networks-4363008101","System QA engineer","Cato Networks","Israel","3 months","Score: 35"
"https://secrethunter.io/jobs/27.A47","QA student","Waterfall Security Solutions","Rosh Ha'ayin","3 months","Score: 35"
"https://secrethunter.io/jobs/63.346","QA engineer","Gk8","Ramat gan","7 months","Score: 35"
"https://secrethunter.io/jobs/15380-qa-tester-at-qualitest-4024842903","15380 - QA tester","Qualitest","Petah Tikva","3 months","Score: 35"
"https://secrethunter.io/jobs/qc-inspector-at-alma-lasers-4062589262","QC inspector","Alma Lasers","Caesarea","2 months","Score: 35"
"https://secrethunter.io/jobs/qa-engineer-po-at-fetcherr-4047035052","QA engineer (po)","Fetcherr","Netanya","2 months","Score: 35"
"https://secrethunter.io/jobs/qa-%D7%91%D7%95%D7%93%D7%A7-%D7%AA-%D7%AA%D7%95%D7%9B%D7%A0%D7%94-at-globalbit-3813080771","QA בודק.ת תוכנה","Globalbit","Tel Aviv","11 months","Score: 35"
"https://secrethunter.io/jobs/15272-manuel-tester-at-qualitest-4017284389","15272 - manuel tester","Qualitest","Petah Tikva","3 months","Score: 35"
"https://secrethunter.io/jobs/weka-4554225007","QA lead cloud","Weka","Tel Aviv","2 months","Score: 35"
"https://secrethunter.io/jobs/14205-manual-tester-with-uav-systems-background-at-qualitest-3977673626","14205 - manual tester with uav systems background","Qualitest","Petah Tikva","5 months","Score: 35"
"https://secrethunter.io/jobs/13440-junior-qa-tester-maanak-at-qualitest-3977674158","13440 - junior QA tester (maanak)","Qualitest","Petah Tikva","5 months","Score: 35"
"https://secrethunter.io/jobs/Via-5886744002","Senior QA engineer","Via","Jerusalem","3 months","Score: 35"
"https://secrethunter.io/jobs/13737-junior-qa-tester-artillery-at-qualitest-3977675067","13737- junior QA tester (artillery)","Qualitest","Petah Tikva","5 months","Score: 35"
"https://secrethunter.io/jobs/sw-qa-engineer-for-ci-team-at-harmonic-4051793241","Sw QA engineer (for ci team)","Harmonic","Caesarea","2 months","Score: 35"
"https://secrethunter.io/jobs/14101-system-tester-at-qualitest-3977670802","14101 - system tester","Qualitest","Petah Tikva","5 months","Score: 35"
"https://secrethunter.io/jobs/quality-assurance-engineer-at-qualitest-4021130786","Quality assurance engineer","Qualitest","Haifa","3 months","Score: 35"
"https://secrethunter.io/jobs/weka-4554241007","QA group leader","Weka","Tel Aviv","2 months","Score: 35"
"https://secrethunter.io/jobs/0E.749","Director of QA & ra","Aidoc","Tel Aviv","3 months","Score: 35"
"https://secrethunter.io/jobs/15644-mid-manual-functional-testing-at-qualitest-4043348057","15644 - mid manual functional testing","Qualitest","Petah Tikva","2 months","Score: 35"
"https://secrethunter.io/jobs/10940-junior-qa-tester-armored-corps-at-qualitest-3977675060","10940 - junior QA tester (armored corps)","Qualitest","Petah Tikva","5 months","Score: 35"
"https://secrethunter.io/jobs/23.94B","QA automation engineer","Silk","Yokeam Illit","4 months","Score: 35"
"https://secrethunter.io/jobs/14979-manual-system-tester-at-qualitest-3998830925","14979 - manual system tester","Qualitest","Petah Tikva","4 months","Score: 35"
"https://secrethunter.io/jobs/13782-junior-sw-qa-manual-tester-artillery-at-qualitest-3977669859","13782 - junior sw QA manual tester (artillery)","Qualitest","Petah Tikva","5 months","Score: 34"
"https://secrethunter.io/jobs/13628-junior-qa-tester-technical-and-communication-at-qualitest-3977670787","13628 - junior QA tester (technical and communication)","Qualitest","Petah Tikva","5 months","Score: 34"
"https://secrethunter.io/jobs/qa-engineer-and-architect-at-regatta-3891652621","QA engineer and architect","Regatta","Binyamina","9 months","Score: 34"
"https://secrethunter.io/jobs/29.547","QA automation tech\team lead","Aiola","Herzliya","5 months","Score: 34"
"https://secrethunter.io/jobs/quality-assurance-compliance-manager-at-juganu-3891668433","Quality assurance & compliance manager","Juganu","Oryehuda","9 months","Score: 34"
"https://secrethunter.io/jobs/qa-automation-engineer-at-briefcam-4028546312","QA automation engineer","BriefCam","Center","3 months","Score: 34"
